repository,library type,open issues,open pull requests,owlbot.py workaround?,samples,ready to migrate?,tracking isuse
python-access-context-manager,,OPEN,migration:pr:none, PROTOPLUS OWLBOT,NONE,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-access-context-manager%22
python-analytics-admin,,NONE,migration:pr:pending,NONE :heavy_check_mark:,MANUAL • GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-analytics-admin%22
python-analytics-data,,OPEN,migration:pr:none,NONE :heavy_check_mark:,MANUAL • GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-analytics-data%22
python-appengine-admin,,NONE,migration:pr:none, OWLBOT,GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-appengine-admin%22
python-asset,,NONE,migration:pr:pending, PROTOPLUS OWLBOT,GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-asset%22
python-assured-workloads,,NONE,migration:pr:none,NONE :heavy_check_mark:,GENERATED,true :heavy_check_mark:,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-assured-workloads%22
python-bigquery-connection,,NONE,migration:pr:none,NONE :heavy_check_mark:,GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-bigquery-connection%22
python-bigquery-datatransfer,,NONE,migration:pr:none,NONE :heavy_check_mark:,GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-bigquery-datatransfer%22
python-bigquery-reservation,,NONE,migration:pr:none,NONE :heavy_check_mark:,GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-bigquery-reservation%22
python-binary-authorization,,NONE,migration:pr:pending, PROTOPLUS OWLBOT,GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-binary-authorization%22
python-cloudbuild,,NONE,migration:pr:none, OWLBOT,GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-cloudbuild%22
python-compute,,OPEN,migration:pr:none, OWLBOT,GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-compute%22
python-container,,OPEN,migration:pr:pending,NONE :heavy_check_mark:,GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-container%22
python-containeranalysis,,NONE,migration:pr:none, PROTOPLUS OWLBOT,GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-containeranalysis%22
python-dataflow-client,,NONE,migration:pr:none, PROTOPLUS OWLBOT,GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-dataflow-client%22
python-dataproc,,OPEN,migration:pr:pending, OWLBOT,GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-dataproc%22
python-dialogflow,,NONE,migration:pr:pending, OWLBOT,GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-dialogflow%22
python-dlp,,NONE,migration:pr:none, OWLBOT,GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-dlp%22
python-filestore,,NONE,migration:pr:none, PROTOPLUS OWLBOT,GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-filestore%22
python-gke-backup,,NONE,migration:pr:none,NONE :heavy_check_mark:,GENERATED,true :heavy_check_mark:,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-gke-backup%22
python-gke-hub,,NONE,migration:pr:none, PROTOPLUS OWLBOT,GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-gke-hub%22
python-grpc-google-iam-v1,,OPEN,migration:pr:pending, PROTOPLUS OWLBOT,NONE,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-grpc-google-iam-v1%22
python-gsuiteaddons,,NONE,migration:pr:none, OWLBOT,GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-gsuiteaddons%22
python-kms,,NONE,migration:pr:none, OWLBOT,GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-kms%22
python-monitoring-dashboards,,OPEN,migration:pr:none, OWLBOT,GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-monitoring-dashboards%22
python-network-services,,NONE,migration:pr:none, OWLBOT,GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-network-services%22
python-optimization,,NONE,migration:pr:pending, OWLBOT,GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-optimization%22
python-org-policy,,OPEN,migration:pr:none, PROTOPLUS OWLBOT,GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-org-policy%22
python-os-config,,NONE,migration:pr:none,NONE :heavy_check_mark:,GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-os-config%22
python-oslogin,,NONE,migration:pr:none, OWLBOT,GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-oslogin%22
python-retail,,NONE,migration:pr:none,NONE :heavy_check_mark:,MANUAL • GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-retail%22
python-run,,OPEN,migration:pr:none, OWLBOT,GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-run%22
python-scheduler,,NONE,migration:pr:none,NONE :heavy_check_mark:,GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-scheduler%22
python-service-management,,NONE,migration:pr:pending, OWLBOT,GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-service-management%22
python-storage-transfer,,NONE,migration:pr:none,NONE :heavy_check_mark:,GENERATED,true :heavy_check_mark:,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-storage-transfer%22
python-tasks,,NONE,migration:pr:none,NONE :heavy_check_mark:,GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-tasks%22
python-texttospeech,,OPEN,migration:pr:pending,NONE :heavy_check_mark:,GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-texttospeech%22
python-trace,,NONE,migration:pr:none, OWLBOT,GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-trace%22
python-videointelligence,,NONE,migration:pr:none,NONE :heavy_check_mark:,MANUAL • GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-videointelligence%22
python-video-live-stream,,NONE,migration:pr:none,NONE :heavy_check_mark:,MANUAL • GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-video-live-stream%22
python-video-stitcher,,NONE,migration:pr:pending,NONE :heavy_check_mark:,MANUAL • GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-video-stitcher%22
python-video-transcoder,,NONE,migration:pr:pending,NONE :heavy_check_mark:,MANUAL • GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-video-transcoder%22
